Date/Time,Electricity:Facility [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:HVAC [J](RunPeriod) 
December,8865508449.622458,589944059.7152739,8865508449.622458,589944059.7152739 
July,6371279996.123572,1162608085.7172652,6371279996.123572,1162608085.7172652 
January,279337313968.11569,33706271784.751279,279337313968.11569,33706271784.751279 
July,187500989919.53828,26033784747.830415,187500989919.53828,26033784747.830415 
